date,share_code,issuer_name,investor_name,investor_type,local_foreign,nationality,domicile,holdings_scripless,holdings_scrip,total_holding_shares,percentage
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,J SUWANTA SINARYA DR,ID,L,INDONESIAN,INDONESIA,555649980,0,555649980,55.23
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,UOB KAY HIAN PRIVATE LIMITED,SC,F,,SINGAPORE,44095700,0,44095700,4.38
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,OEY JOHAN SINATRA SUMAWI,ID,L,INDONESIAN,INDONESIA,25350010,0,25350010,2.52
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,JEIHAN SUMAWI PUTRA,ID,L,INDONESIAN,INDONESIA,25000010,0,25000010,2.48
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,PHILLIP SECURITIES PTE LTD,SC,F,,SINGAPORE,14704300,0,14704300,1.46
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,HASANUDIN,ID,L,INDONESIAN,INDONESIA,14176800,0,14176800,1.41
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,ANI ROLIYANI,ID,L,INDONESIAN,INDONESIA,11425700,0,11425700,1.14
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,ANDY TANUJAYA,ID,L,INDONESIAN,INDONESIA,11005000,0,11005000,1.09
2026-03-31,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,KUSWIRA,ID,L,INDONESIAN,INDONESIA,10232600,0,10232600,1.02
2026-03-31,AGAR,ASIA SEJAHTERA MINA Tbk,PT. INDO KREASI PRATAMA,CP,L,,INDONESIA,450000000,0,450000000,45.0
2026-03-31,AGAR,ASIA SEJAHTERA MINA Tbk,PT. SINAR TERANG ASIA RAYA,CP,L,,INDONESIA,299927300,0,299927300,29.99
2026-03-31,AGAR,ASIA SEJAHTERA MINA Tbk,PT. BENGAWAN TIMUR LAJU,CP,L,,INDONESIA,43000000,0,43000000,4.3
2026-03-31,AGAR,ASIA SEJAHTERA MINA Tbk,WILDA TETY ARYDESIA,ID,L,INDONESIAN,INDONESIA,41000000,0,41000000,4.1
2026-03-31,AGAR,ASIA SEJAHTERA MINA Tbk,L. HAUW LIONG (LIANTO G),ID,L,INDONESIAN,INDONESIA,40392900,0,40392900,4.04
2026-03-31,AGAR,ASIA SEJAHTERA MINA Tbk,HENRY TIRTASAPUTRA JUNIOR,ID,L,INDONESIAN,INDONESIA,40000000,0,40000000,4.0
2026-03-31,AGAR,ASIA SEJAHTERA MINA Tbk,ROBIN GOENADI,ID,L,INDONESIAN,INDONESIA,39777500,0,39777500,3.98
2026-03-31,AGAR,ASIA SEJAHTERA MINA Tbk,INTAN POLANARIA SANTOSA,ID,L,INDONESIAN,INDONESIA,33219300,0,33219300,3.32
2026-03-31,AGII,SAMATOR INDO GAS Tbk,PT SAMATOR,CP,L,,INDONESIA,709549020,371144000,1080693020,35.24
2026-03-31,AGII,SAMATOR INDO GAS Tbk,MATRIX COMPANY LIMITED,CP,F,,JERSEY,986967780,0,986967780,32.18
2026-03-31,AGII,SAMATOR INDO GAS Tbk,PT. ANEKA MEGA ENERGI,CP,L,,INDONESIA,0,459999000,459999000,15.0
2026-03-31,AGII,SAMATOR INDO GAS Tbk,SARATOGA INVESTAMA SEDAYA TBK PT,CP,L,,INDONESIA,306666000,0,306666000,10.0
2026-03-31,AGII,SAMATOR INDO GAS Tbk,ZICO TRUST (S) LTD,CP,F,,SINGAPORE,91633900,0,91633900,2.99
2026-03-31,AGRO,BANK RAYA INDONESIA Tbk,"PT BANK RAKYAT INDONESIA (PERSERO), TBK",IB,L,,INDONESIA,21239760958,247401079,21487162037,86.85
2026-03-31,AGRO,BANK RAYA INDONESIA Tbk,DANA PENSUN PERKEBUNAN,PF,L,,INDONESIA,600703375,0,600703375,2.43
2026-03-31,AGRS,BANK IBK INDONESIA Tbk,INDUSTRIAL BANK OF KOREA,OT,F,,"KOREA, REPUBLIC OF",4701453340,39090909045,43792362385,91.49
2026-03-31,AGRS,BANK IBK INDONESIA Tbk,PT KOREA INVESTMENT AND SEKURITAS INDONESIA - REGISTRAR,SC,L,,INDONESIA,1414728100,0,1414728100,2.96
2026-03-31,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,PT ASURANSI CENTRAL ASIA,IS,L,,INDONESIA,3066343009,0,3066343009,62.58
2026-03-31,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,SENDRA GUNAWAN,ID,L,INDONESIAN,INDONESIA,566781066,0,566781066,11.57
2026-03-31,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,TAN KAH HO,ID,F,SINGAPOREAN,SINGAPORE,119929263,0,119929263,2.45
2026-03-31,AHAP,ASURANSI HARTA AMAN PRATAMA Tbk,BANGKOK INSURANCE PUBLIC COMPANY LIMITED,IS,F,,THAILAND,64086000,0,64086000,1.31
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,PT AIMS INDO INVESTAMA,CP,L,,INDONESIA,68556991,0,68556991,31.16
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,PT DELTA WIBAWA BERSAMA,CP,L,,INDONESIA,68493151,0,68493151,31.13
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,IR EFENDI LEMAN,ID,L,INDONESIAN,INDONESIA,11155000,0,11155000,5.07
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,LIQIN LING,ID,F,CHINESE,CHINA,9681000,0,9681000,4.4
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,MELDY TANNOS,ID,L,INDONESIAN,INDONESIA,6271000,0,6271000,2.85
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,INDRAWATI TJENDANA,ID,L,INDONESIAN,INDONESIA,4432700,0,4432700,2.01
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,LIANG ZHANG,ID,F,CHINESE,CHINA,3829000,0,3829000,1.74
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,ABEL IGNATIUS AUREY,ID,L,INDONESIAN,INDONESIA,2837000,0,2837000,1.29
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,ANTHONY SETIADI,ID,L,INDONESIAN,INDONESIA,2737000,0,2737000,1.24
2026-03-31,AIMS,ARTHA MAHIYA INVESTAMA Tbk,NUGRAHANING DYAH LARASATI,ID,L,INDONESIAN,INDONESIA,2237700,0,2237700,1.02
2026-03-31,AISA,FKS FOOD SEJAHTERA Tbk,PT. PANGAN SEJAHTERA INVESTAMA,CP,L,,INDONESIA,5446478300,0,5446478300,58.49
2026-03-31,AISA,FKS FOOD SEJAHTERA Tbk,PT ASTA ASKARA SENTOSA,CP,L,,INDONESIA,1441374472,0,1441374472,15.48
2026-03-31,AISA,FKS FOOD SEJAHTERA Tbk,PRIMANEX LIMITED,CP,F,,BRITISH INDIAN OCEAN TERRITORY,173114557,0,173114557,1.86
2026-03-31,AISA,FKS FOOD SEJAHTERA Tbk,ASURANSI SIMAS JIWA,IS,L,,INDONESIA,169350483,0,169350483,1.82
2026-03-31,AISA,FKS FOOD SEJAHTERA Tbk,UBS AG SINGAPORE BRANCH,IB,F,,SINGAPORE,158836700,0,158836700,1.71
2026-03-31,AISA,FKS FOOD SEJAHTERA Tbk,TROPHY INVESTORS II Ltd,CP,F,,BRITISH INDIAN OCEAN TERRITORY,146693750,0,146693750,1.58
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RENALDIJAYA EKAINTI,CP,L,,INDONESIA,1036756100,0,1036756100,16.08
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT BINTANG BERSINAR CEMERLANG,CP,L,,INDONESIA,721187100,0,721187100,11.18
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT GEMA BUSANA RAYA,CP,L,,INDONESIA,394611900,0,394611900,6.12
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KOREK API GUNA MANDIRI,CP,L,,INDONESIA,358795300,0,358795300,5.56
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT SUKSES SELALU SEMPURNA,CP,L,,INDONESIA,251735200,0,251735200,3.9
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,RENA LUCIANI HUSADA,ID,L,INDONESIAN,INDONESIA,250000100,0,250000100,3.88
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RELBI JAYA EKA INTI,CP,L,,INDONESIA,223590000,0,223590000,3.47
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,OIL AND GAS VENTURES LIMITED,CP,F,,SEYCHELLES,195289000,0,195289000,3.03
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT ANTARIKSA BINTANG CEMERLANG,CP,L,,INDONESIA,190502200,0,190502200,2.95
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT CIHAMPELAS SEJUTA BUSANA,CP,L,,INDONESIA,183698600,0,183698600,2.85
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM KARYA UTAMA,CP,L,,INDONESIA,147670900,0,147670900,2.29
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM MAKMUR UTAMA,CP,L,,INDONESIA,138442000,0,138442000,2.15
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. KAGUM JAYA EKA INTI,CP,L,,INDONESIA,136701600,0,136701600,2.12
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT JOKOWOW INDONESIA HEBAT,CP,L,,INDONESIA,134889200,0,134889200,2.09
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT LOKASI EMAS INDONESIA PROPERTI,CP,L,,INDONESIA,126925800,0,126925800,1.97
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RESTI JAYA EKA INTI,CP,L,,INDONESIA,126601700,0,126601700,1.96
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT. RENA JAYA EKA INTI,CP,L,,INDONESIA,122608200,0,122608200,1.9
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT KAGUM UTAMA JAYA,CP,L,,INDONESIA,117865600,0,117865600,1.83
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT KAGUM KARYA MAKMUR,CP,L,,INDONESIA,117407100,0,117407100,1.82
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT MAJU KARYA SRIKANDI,CP,L,,INDONESIA,108858400,0,108858400,1.69
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT TALENTA USAHA PRIMA,CP,L,,INDONESIA,81643800,0,81643800,1.27
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT GEMPAR BUSANA JAYA,CP,L,,INDONESIA,81643800,0,81643800,1.27
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,KINGSWOOD UNION CORPORATION,OT,F,,"VIRGIN ISLANDS, BRITISH",72535000,0,72535000,1.12
2026-03-31,AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk,PT LENTERA BINTANG TERANG,CP,L,,INDONESIA,68036500,0,68036500,1.05
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,TIARA INTIMAHKOTA,,,,,0,141027982,141027982,23.03
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,"NAWA PANDUTA, PT",CP,L,,,0,92133534,92133534,15.05
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT. TIARA INTIMAHKOTA,CP,L,,INDONESIA,80045006,0,80045006,13.07
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT PRISMATAMA NUGRAHA,CP,L,,INDONESIA,37009340,130019668,167029008,27.28
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,PT GITANIRWANA MANDRASAKTI,CP,L,,INDONESIA,28680660,0,28680660,4.68
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,HENRY LIEM,ID,L,INDONESIAN,,14463259,0,14463259,2.36
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,Amirsyah Risjad,ID,L,INDONESIAN,INDONESIA,10500062,0,10500062,1.72
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,DINA RISJAD,ID,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,DEDEY RISJAD,ID,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,ZARANI RISJAD,ID,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,RIZAL RISJAD,ID,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,SELVIYA RISJAD DANANTO,ID,L,INDONESIAN,INDONESIA,10433162,0,10433162,1.7
2026-03-31,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,RADIAN RISJAD,ID,L,INDONESIAN,INDONESIA,10433161,0,10433161,1.7
2026-03-31,AKRA,AKR CORPORINDO Tbk,PT ARTHAKENCANA RAYATAMA,CP,L,,INDONESIA,3112617000,9675201600,12787818600,63.71
2026-03-31,AKRA,AKR CORPORINDO Tbk,EMPLOYEES PROVIDENT FUND BOARD,PF,F,,MALAYSIA,647500000,0,647500000,3.23
2026-03-31,AKRA,AKR CORPORINDO Tbk,GOVERNMENT OF NORWAY,OT,F,,NORWAY,566047700,0,566047700,2.82
2026-03-31,AKRA,AKR CORPORINDO Tbk,THE NT TST CO S/A CIM INVESTMENT FUND ICAV,MF,F,,IRELAND,420464500,0,420464500,2.09
2026-03-31,AKRA,AKR CORPORINDO Tbk,AKR CORPORINDO TBK.,CP,L,,INDONESIA,273705000,0,273705000,1.36
2026-03-31,AKRA,AKR CORPORINDO Tbk,ABERDEEN ASIA FOCUS PLC,MF,F,,UNITED KINGDOM,248938500,0,248938500,1.24
2026-03-31,AKRA,AKR CORPORINDO Tbk,HARYANTO ADIKOESOEMO,ID,L,INDONESIAN,INDONESIA,212604600,0,212604600,1.06
2026-03-31,AKSI,MINERAL SUMBERDAYA MANDIRI Tbk,PT BATULICIN ENAM SEMBILAN TRANSPORTASI,CP,L,,INDONESIA,3299750,662400000,665699750,92.46
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,PT.GOLDEN ARISTA INTERNATIONAL,CP,L,,INDONESIA,1810571784,0,1810571784,67.04
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,VERY BUDIAWAN,ID,L,INDONESIAN,INDONESIA,103218948,0,103218948,3.82
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,DADANG KURNIAWAN WIKARA,ID,L,INDONESIAN,INDONESIA,96977000,0,96977000,3.59
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,HILDA SUTANTO,ID,L,INDONESIAN,INDONESIA,92841438,0,92841438,3.44
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,LILI MULYADI SUTANTO,ID,L,INDONESIAN,INDONESIA,84307692,0,84307692,3.12
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,PT ARDANA INVESTAMA INDONESIA,CP,L,,INDONESIA,83819100,0,83819100,3.1
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,PT PABRIK KERTAS NOREE INDONESIA,CP,L,,INDONESIA,57587200,0,57587200,2.13
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,IRENE SASTROAMIJOYO,ID,L,INDONESIAN,INDONESIA,55990400,0,55990400,2.07
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,HERWANTO SUTANTO,ID,L,INDONESIAN,INDONESIA,49230770,0,49230770,1.82
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,HERLAMBANG PUTRA SURJADI,ID,L,INDONESIAN,INDONESIA,46436720,0,46436720,1.72
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,WILLY SOESANTO,ID,L,INDONESIAN,,45652702,0,45652702,1.69
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,SONNY KOESOEMAHARSONO,ID,L,INDONESIAN,INDONESIA,33702698,0,33702698,1.25
2026-03-31,ALDO,ALKINDO NARATAMA Tbk,EDDY YUSUF,ID,L,INDONESIAN,INDONESIA,28576712,0,28576712,1.06
